timestamp,person_id,x_gt,y_gt
20.4,personFlow1.2,266.84,167.678
20.45,personFlow1.0,270.002,188.487
20.45,personFlow1.1,266.84,180.424
20.45,personFlow1.2,266.84,167.739
20.5,personFlow1.0,270.056,188.49
20.5,personFlow1.1,266.84,180.492
20.5,personFlow1.2,266.84,167.802
20.55,personFlow1.0,270.116,188.494
20.55,personFlow1.1,266.84,180.56
20.55,personFlow1.2,266.84,167.865
20.6,personFlow1.0,270.171,188.497
20.6,personFlow1.1,266.84,180.621
20.6,personFlow1.2,266.84,167.927
20.65,personFlow1.0,270.224,188.5
20.65,personFlow1.1,266.84,180.688
20.65,personFlow1.2,266.84,167.991
20.7,personFlow1.0,270.284,188.504
20.7,personFlow1.1,266.84,180.756
20.7,personFlow1.2,266.84,168.052
20.75,personFlow1.0,270.343,188.508
20.75,personFlow1.1,266.84,180.821
20.75,personFlow1.2,266.84,168.122
20.8,personFlow1.0,270.399,188.511
20.8,personFlow1.1,266.84,180.881
20.8,personFlow1.2,266.84,168.195
20.85,personFlow1.0,270.463,188.515
20.85,personFlow1.1,266.84,180.94
20.85,personFlow1.2,266.84,168.261
20.9,personFlow1.0,270.523,188.519
20.9,personFlow1.1,266.84,180.999
20.9,personFlow1.2,266.84,168.328
20.95,personFlow1.0,270.586,188.523
20.95,personFlow1.1,266.84,181.068
20.95,personFlow1.2,266.84,168.4
21,personFlow1.0,270.646,188.526
21,personFlow1.1,266.84,181.137
21,personFlow1.2,266.84,168.46
21.05,personFlow1.0,270.706,188.53
21.05,personFlow1.1,266.84,181.2
21.05,personFlow1.2,266.84,168.522
21.1,personFlow1.0,270.77,188.534
21.1,personFlow1.1,266.84,181.258
21.1,personFlow1.2,266.84,168.584
21.15,personFlow1.0,270.823,188.537
21.15,personFlow1.1,266.84,181.322
21.15,personFlow1.2,266.84,168.646
21.2,personFlow1.0,270.879,188.541
21.2,personFlow1.1,266.84,181.391
21.2,personFlow1.2,266.84,168.71
21.25,personFlow1.0,270.939,188.545
21.25,personFlow1.1,266.84,181.45
21.25,personFlow1.2,266.84,168.78
21.3,personFlow1.0,271.003,188.549
21.3,personFlow1.1,266.84,181.511
21.3,personFlow1.2,266.84,168.852
21.35,personFlow1.0,271.06,188.552
21.35,personFlow1.1,266.84,181.574
21.35,personFlow1.2,266.84,168.924
21.4,personFlow1.0,271.124,188.556
21.4,personFlow1.1,266.84,181.634
21.4,personFlow1.2,266.84,168.996
21.45,personFlow1.0,271.185,188.56
21.45,personFlow1.1,266.84,181.698
21.45,personFlow1.2,266.84,169.063
21.5,personFlow1.0,271.248,188.564
21.5,personFlow1.1,266.84,181.757
21.5,personFlow1.2,266.84,169.124
21.55,personFlow1.0,271.301,188.567
21.55,personFlow1.1,266.84,181.819
21.55,personFlow1.2,266.84,169.191
21.6,personFlow1.0,271.359,188.571
21.6,personFlow1.1,266.84,181.886
21.6,personFlow1.2,266.84,169.262
